Field=Description~String~Description~75|Field=Designator~String~Designator~75|Field=Manufacturer Part Number~String~Manufacturer Part Number~75|Field=Quantity~Integer~Quantity~75|Field=Supplier 1~String~Supplier 1~75|Field=Supplier 2~String~Supplier 2~20|Field=Supplier 3~String~Supplier 3~20|Field=Supplier Part Number 1~String~Supplier Part Number 1~125|Field=Supplier Part Number 2~String~Supplier Part Number 2~20|Field=Supplier Part Number 3~String~Supplier Part Number 3~20|Field=Supplier Stock 1~Integer~Supplier Stock 1~115|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~59|Field=Value~String~Value~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb|ReportField=ProjectFullPath~D:\Documents and Settings\Administrator\Desktop\Telemetria GPRS Bluetoot MP V1_0 Rev1\PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~132|ReportField=ReportTime~13:25:18|ReportField=ReportDate~03/26/2018|ReportField=ReportDateTime~03/26/2018 13:25:18|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~M. en C. Fernando Bolaños|ReportField=Author~M. en C. José Alberto Balderas Castillo (CID)|ReportField=CheckedBy~M. en C. José Alberto Balderas Castillo (CID)|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=FechaAprobacion~16-Junio-2015|ReportField=FechaDiseno~02-Junio-2015|ReportField=FechaRevision~05-Junio-2015|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=NombreBloque~Diagrama a Bloques|ReportField=NombreProyecto~Telemetria GPRS de Bajo Consumo de Energia|ReportField=NombreTarjeta~TELCOMGPRS-v1|ReportField=NumeroDeHoja~1 de 7|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~v1|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=TamanoHoja~Carta|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb|ReportField=DataSourceFullPath~D:\Documents and Settings\Administrator\Desktop\Telemetria GPRS Bluetoot MP V1_0 Rev1\PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb
SWITCH SLIDE DIP SPST 100MA 6V|U12SW2|CHS-02TA|1|||||||||
No Aplica|SP1, SP2, SP3, SP4, T1, T2, T3, T4, U6B1, U10B_A1, U10B_A2, U10B_B1, U10B_B2||13|||||||||
SWITCH TACTILE SPST-NO 0.02A 15V SMT|U12SW1|EVQ-Q2K03W|1|Digi-Key|||P12943SCT-ND|||108980|0.30|
CAP TANTALUM 10UF 6.3V 10% SMD|U12C1|T491A106K010AT|1|Digi-Key|||399-3684-1-ND|||927461|0.41|10uF
RES SMD 4.7K OHM 5% 1/8W 0805|U12R1, U12R2, U12R3, U12R4, U12R5, U12R6, U12R7|ERJ-6GEYJ472V|7|Digi-Key|||P4.7KACT-ND|||279295|0.10|4.7KO
IC SWITCH DUAL SPDT 10MSOP|U11|ADG836YRMZ|1|Digi-Key|||ADG836YRMZ-ND|||1596|3.48|
|U12|BL652-SA-01-T/R|1|Digi-Key|Mouser|Newark|BL652-SA-01-CT-ND|239-BL652-SA-01|01AC1558|11504|7.45|
CAP CER 0.22UF 16V 10% X7R 0603|U5C1|C0603C224K4RAC7867|1|Digi-Key|||399-5619-1-ND|||56320|0.40|0.22uF
CAP CER 0.22UF 50V 10% X7R 1206|U4C2|CL31B224KBFNNNE|1|Digi-Key|||1276-1106-1-ND|||27734|0.13|0.22uF
RES SMD 1.2K OHM 1% 1/8W 0805|U2R1|ERJ-6ENF1201V|1|Digi-Key|||P1.20KCCT-ND|||47666|0.10|1.2KO
RES SMD 100K OHM 5% 1/2W 0805|U6R1, U6R3|ERJ-P06J104V|2|Digi-Key|||P100KADCT-ND|||65858|0.12|100KO
CAP TANT 100UF 16V 10% 2917|U4C4|T495D107K016AHE125|1|Digi-Key|||399-8498-1-ND|||2635|1.94|100uF
VISHAY  CRCW080510M0JNEA  Resistencia SMD Chip, Película Gruesa, 10 Mohm, 150 V, 0805 [2012 Metric], 125 mW, ± 5%|U5R3|CRCW080510M0JNEA|1|Digi-Key|||541-10MACT-ND|||39217|0.10|10MO
CAP CER 10PF 50V 10% NP0 1206|U4C3|C1206C100K5GACTU|1|Digi-Key|||399-9297-1-ND|||4474|0.34|10pF
CAP CER 10UF 50V Y5V 1210|U1C1, U1C2, U1C3|CC1210ZKY5V9BB106|3|Digi-Key|Mouser||311-3470-1-ND|603-CC121ZKY5V9BB106||3|0.51|10uF
RES SMD 1M OHM 0.1% 1/8W 0805|U4R1|ERA-6AEB105V|1|Digi-Key|||P1MDACT-ND|||334006|0.36|1MO
VISHAY  CRCW08051M00FKEB  Resistencia SMD Chip, Película Gruesa, 1 Mohm, 150 V, 0805 [2012 Metric], 125 mW, ± 1%|U5R2|CRCW08051M00FKEA|1|Digi-Key|Newark||541-1.00MCCT-ND|52K9759||225577|0.10|1MO
CAP CER 2.2UF 50V 10% X5R 1206|U4C1|UMK316BJ225KD-T|1|Digi-Key|||587-2402-1-ND|||327614|0.28|2.2uF
RES 2.70K OHM 1/8W 1% 0805 SMD|U1R2|CRCW08052K70FKEA|1|Digi-Key|||541-2.70KCCT-ND|||22212|0.10|2.7KO
TVS DIODE 18V 29.2V SMF|U3TVS1|SMF18A-E3-08|1|Digi-Key|||SMF18A-E3-08CT-ND|||21683|0.48|
CAP 220MF -20% +80% 3.3V SMD|U8C2|DSK-3R3H224U-HL|1|Digi-Key|||604-1020-1-ND|||68064|1.89|220mF
CAP CERAMIC 220PF 50V NP0 1206|U1C4|C1206C221K5GACTU|1|Digi-Key|||399-1208-1-ND|||10522|0.37|220pF
CAP 22000PF 50V CERAMIC X7R 1206|U1C5|C1206C223K5RACTU|1|Digi-Key|||399-1242-1-ND|||7065|0.22|22nF
|U1R3|ERA-6AEB3162V|1|Digi-Key|||P31.6KDACT-ND|||30915|0.36|24KO
